"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"667",107754.426416556,252907.276523707,246526.011744239,21.910379215664,23.7125845957668,22.3637236115151
"668",102829.268792997,249030.649040796,222681.254293497,22.2649213502728,23.8269085802252,22.888388896425
"669",121636.768489882,284645.913185933,260463.312266141,21.397602118065,23.1705183715736,22.1523234488844
"670",107538.876248663,262723.362337627,235358.005062935,22.353355975429,23.9735842406586,22.972477429348
"671",113076.564471521,273404.908392737,256207.532632395,21.1623445755891,22.8157489055062,21.9441018550687
"672",115245.665646663,297857.234121861,279540.957958745,20.5323970952721,22.4761240570633,21.3026277547727
"673",113086.061039322,303061.041321197,294408.785317141,20.5945216051237,22.598954675946,21.0967750963232
"674",98886.5355858173,245221.4398729,207639.493640899,22.8226776183869,24.2196935599431,23.7067130062006
"675",113905.473841637,293732.318363384,275173.380041904,20.8299186678131,22.5693152743758,21.5532862752196
"676",117632.406869257,302709.359885421,273427.289158539,21.0121533220558,22.8718401216644,21.6854530832908
"677",116171.07116524,259551.352502796,250442.371286687,21.5842883966246,23.2709932484582,22.0362674072041
"678",120773.73934771,314592.273408436,265655.963734474,20.6659319599403,22.6353852021489,21.522590593628
"679",111767.179349285,310657.070537498,290402.631127995,21.1902468556102,22.7479765242833,21.8382335089662
"680",118046.109491966,306704.274040932,288280.768671723,20.2058720195692,21.9433411435567,21.0077561636246
"681",111773.825177848,270782.031963144,253643.622122319,21.3554026728287,23.0656485070127,21.9816053756923
"682",108299.121385092,280713.646604429,246240.403662297,20.9387154117192,22.8369179405483,21.6677933237896
"683",106696.603178021,244470.580570324,212208.656024547,22.268028085649,23.8919114904683,23.2692934598776
"684",122039.21640412,322979.731438406,296612.398087423,19.5484150043904,21.201204510174,20.3242783456993
"685",96148.5769621344,239956.415723017,233056.116232676,22.1325842120431,23.6367238219532,22.5049994470771
"686",112741.587609662,259799.519737388,244811.563966027,22.1983082569539,23.8054861924985,22.63832251088
"687",111696.142744918,266051.688701818,255383.617939675,21.4435167440624,23.0254507389683,21.9997583260805
"688",117736.513037197,296277.897971315,291119.626560695,20.1070735827049,22.3124001556929,20.5959815222047
"689",106964.03884882,282598.469019066,248422.185912666,21.68161315498,23.3778727562518,22.4438657000987
"690",112786.695478244,285532.548062749,260340.585481611,20.858506080491,22.602357324157,21.7485141366965
"691",126262.311814668,318536.557364886,282482.022791049,20.5666505409903,22.436564189375,21.3615091352926
"692",122605.915469142,293120.326284448,280926.725297874,20.5288080615251,22.5193725609858,21.2496451346198
"693",125966.741690969,284155.809684584,268238.449553199,21.0833335647327,22.9180885971256,21.7336282937088
"694",106146.472268936,259752.71113984,233283.822566121,21.9432495310908,23.2608076369252,22.8332607605756
"695",127384.238225055,304803.375701937,287655.884230897,20.9798748602343,22.7740756784132,21.7545903066997
"696",114350.77487191,270167.387653426,250724.718501538,21.6749434909337,23.2049048032536,22.4614060864186
"697",112736.346018084,265392.918205373,247174.760692183,21.2806779657188,23.2161495200783,22.1365037575709
"698",104000.542821264,263919.796926544,242710.520818041,21.1395992776706,22.6986848367264,22.1301900276589
"699",120604.815064932,321079.519927324,304463.275213899,19.9439801708347,21.6287514192199,20.868255535604
"700",112225.216490457,285511.435535234,257130.607918406,20.9561622059556,22.743192771095,21.6881900009736
"701",106678.626371522,263188.586487971,242961.927737345,22.136985584898,23.4677664785626,22.8554134249815
"702",104059.773800936,265704.690558432,257101.767905806,21.6903156821423,23.2887972833349,22.1594085509162
"703",114064.645547178,322276.385655235,300372.537637485,20.2005021234944,22.1262137144083,20.7386645781181
"704",118739.309175896,294948.989072304,271846.335477845,21.3184050561389,22.8011148499602,22.2176897396319
"705",104542.113727821,246427.798481931,209466.43247377,22.1681544656274,23.7162689840688,23.1124852100098
"706",112649.942457282,263014.139125444,241210.340294355,21.8575109095154,23.4906417830793,22.6747082864773
"707",109981.443970666,252416.029819083,225397.571041936,22.3652356861046,23.9127768689061,23.0550643131848
"708",118914.616927494,306184.441806007,275734.228729693,20.8532468736688,22.6214814828739,21.7850496388835
"709",101377.533761273,229833.532540268,216540.193005799,22.9506182248204,24.3543143326058,23.458125884592
"710",114265.085752132,283856.837181451,248743.060412558,21.0309176121419,22.7906972129488,21.8584245714702
"711",119110.618975601,301405.807029336,286479.427041675,20.9112635924611,22.7264809850234,21.5594279344912
"712",105918.063482731,289282.160604918,259027.082367846,21.3559278253401,22.8858029239805,21.944329674495
"713",111554.260807784,268877.062183922,244732.995593528,21.2958714211152,23.0501271181109,22.2570818445254
"714",103506.819622491,237960.239946371,220354.755394588,21.4531300954073,23.139030612,22.3444664490505
"715",119397.594135014,282054.314256413,261569.555934536,21.0143355620115,22.7960402425114,21.7049385499238
"716",127241.154093309,327698.695860932,281889.042845792,20.4284338308941,22.1950276074779,21.4216235607392
"717",122939.185903546,315688.741904358,272807.662943732,20.5748187946928,22.3365156464034,21.5873892724709
"718",135133.0782218,302287.829941026,285940.217567303,20.7609499125363,22.984978238354,21.3914285551287
"719",118227.586590024,291305.009184751,275846.380978407,20.767281206106,22.6475971151882,21.5478339540002
